country,year,iso_code,population,gdp,co2,co2_per_capita,co2_per_gdp
Afghanistan,2000,AFG,20779958,11283792896,0.758,0.036,0.067
Africa,2000,,810984229,,886.562,1.094,0.412
Albania,2000,ALB,3129246,15214264320,3.004,0.96,0.198
Algeria,2000,DZA,31042238,2.09E+11,82.221,2.649,0.394
Andorra,2000,AND,65390,,0.524,8.013,
Angola,2000,AGO,16395477,23512020992,9.516,0.58,0.405
Anguilla,2000,AIA,11247,,0.088,7.819,
Antarctica,2000,ATA,,,0.004,,
Antigua and Barbuda,2000,ATG,76007,,0.293,3.856,
Argentina,2000,ARG,36870796,5.36E+11,142.358,3.861,0.265
Armenia,2000,ARM,3069597,15244832768,3.491,1.137,0.229
Aruba,2000,ABW,90866,,2.378,26.17,
Asia,2000,,3740320039,,9091.055,2.431,0.419
Asia (excl. China & India),2000,,,,4672.983,3.356,0.361
Australia,2000,AUS,18991434,6.92E+11,351.82,18.525,0.508
Austria,2000,AUT,8069276,2.80E+11,66.139,8.196,0.236
Azerbaijan,2000,AZE,8122743,34255695872,29.506,3.633,0.861
Bahamas,2000,BHS,298045,,2.026,6.798,
Bahrain,2000,BHR,664610,11416501248,18.794,28.278,1.646
Bangladesh,2000,BGD,127657856,2.01E+11,26.525,0.208,0.132
Barbados,2000,BRB,271511,3452406272,1.152,4.241,0.334
Belarus,2000,BLR,9871635,91419115520,54.706,5.542,0.598
Belgium,2000,BEL,10282046,3.46E+11,126.72,12.324,0.366
Belize,2000,BLZ,247310,,0.396,1.6,
Benin,2000,BEN,6865946,12746225664,1.473,0.214,0.116
Bermuda,2000,BMU,65017,,0.517,7.946,
Bhutan,2000,BTN,591014,,0.383,0.648,
Bolivia,2000,BOL,8418270,34202658816,8.641,1.026,0.253
Bonaire Sint Eustatius and Saba,2000,BES,14387,,0.255,17.742,
Bosnia and Herzegovina,2000,BIH,3751176,27629668352,13.702,3.653,0.496
Botswana,2000,BWA,1643333,13390984192,3.778,2.299,0.282
Brazil,2000,BRA,174790336,1.73E+12,340.183,1.946,0.196
British Virgin Islands,2000,VGB,20313,,0.125,6.133,
Brunei,2000,BRN,333166,,4.591,13.78,
Bulgaria,2000,BGR,7997951,70102818816,45.466,5.685,0.649
Burkina Faso,2000,BFA,11607951,14546977792,1.03,0.089,0.071
Burundi,2000,BDI,6378871,4647177728,0.271,0.043,0.058
Cambodia,2000,KHM,12155241,20441458688,1.975,0.162,0.097
Cameroon,2000,CMR,15513944,31207909376,3.346,0.216,0.107
Canada,2000,CAN,30588378,1.14E+12,566.552,18.522,0.498
Cape Verde,2000,CPV,428178,1540942336,0.216,0.505,0.14
Central African Republic,2000,CAF,3640421,3836505856,0.234,0.064,0.061
Chad,2000,TCD,8355654,5599909376,0.487,0.058,0.087
Chile,2000,CHL,15342350,2.33E+11,58.096,3.787,0.25
China,2000,CHN,1290550784,5.95E+12,3439.152,2.665,0.578
Christmas Island,2000,CXR,,,,,
Colombia,2000,COL,39629964,3.31E+11,56.259,1.42,0.17
Comoros,2000,COM,542358,656399296,0.103,0.189,0.156
Congo,2000,COG,3127420,12472091648,0.565,0.181,0.045
Cook Islands,2000,COK,17935,,0.048,2.656,
Costa Rica,2000,CRI,3962369,36231462912,5.394,1.361,0.149
Cote d'Ivoire,2000,CIV,16454660,41297571840,6.463,0.393,0.156
Croatia,2000,HRV,4428075,54951510016,19.661,4.44,0.358
Cuba,2000,CUB,11126423,44692111360,25.775,2.317,0.577
Curacao,2000,CUW,132147,,4.784,36.2,
Cyprus,2000,CYP,943288,18206158848,7.12,7.548,0.391
Czechia,2000,CZE,10289374,1.75E+11,127.127,12.355,0.729
Democratic Republic of Congo,2000,COD,47105828,21854111744,0.893,0.019,0.041
Denmark,2000,DNK,5341192,2.08E+11,54.292,10.165,0.261
Djibouti,2000,DJI,717577,1258388224,0.366,0.511,0.291
Dominica,2000,DMA,69650,404483808,0.103,1.473,0.254
Dominican Republic,2000,DOM,8471317,56344829952,18.992,2.242,0.337
Ecuador,2000,ECU,12681123,85978873856,20.562,1.622,0.239
Egypt,2000,EGY,68831560,4.44E+11,140.35,2.039,0.316
El Salvador,2000,SLV,5887930,31478454272,5.671,0.963,0.18
Equatorial Guinea,2000,GNQ,606180,6341192192,0.616,1.015,0.097
Eritrea,2000,ERI,2292413,,0.604,0.264,
Estonia,2000,EST,1399111,22945026048,15.485,11.068,0.675
Eswatini,2000,SWZ,1005432,5050303488,1.209,1.203,0.239
Ethiopia,2000,ETH,66224812,50326962176,3.463,0.052,0.069
Europe,2000,,726503746,,6149.034,8.468,0.383
Europe (excl. EU-27),2000,,,,2547.785,8.512,0.571
Europe (excl. EU-28),2000,,,,1980.2,8.237,0.769
European Union (27),2000,,426858608,,3601.249,8.437,0.31
European Union (28),2000,,,,4168.834,8.582,0.309
Faeroe Islands,2000,FRO,46738,,0.689,14.738,
Fiji,2000,FJI,811011,,0.833,1.027,
Finland,2000,FIN,5187953,1.69E+11,57.038,10.994,0.337
France,2000,FRA,59015092,2.03E+12,405.901,6.878,0.2
French Equatorial Africa,2000,,,,,,
French Guiana,2000,GUF,163163,,0.503,3.082,
French Polynesia,2000,PYF,240681,,0.572,2.375,
French West Africa,2000,,,,,,
Gabon,2000,GAB,1228359,12538006528,4.669,3.801,0.372
Gambia,2000,GMB,1317708,1955249536,0.275,0.208,0.14
Georgia,2000,GEO,4362184,23550461952,4.5,1.032,0.191
Germany,2000,DEU,81400880,2.74E+12,899.852,11.055,0.328
Ghana,2000,GHA,19278850,39519514624,6.101,0.317,0.154
